dest_psgc,dest_municipality,src_psgc,src_municipality,travel_time
60611000,PANDAN,60601000,ANINI-Y,11925.175199999994
60616000,SIBALOM,60601000,ANINI-Y,3273.489599999999
60605000,CALUYA,60601000,ANINI-Y,31548.4956
60615000,SEBASTE,60601000,ANINI-Y,10833.0792
60607000,TOBIAS FORNIER,60601000,ANINI-Y,932.3376
60608000,HAMTIC,60601000,ANINI-Y,2492.0376
60618000,VALDERRAMA,60601000,ANINI-Y,7421.073599999998
60612000,PATNONGON,60601000,ANINI-Y,4697.390399999999
60603000,BELISON,60601000,ANINI-Y,3971.508
60609000,LAUA-AN,60601000,ANINI-Y,6866.901599999997
60617000,TIBIAO,60601000,ANINI-Y,8333.8548
60604000,BUGASONG,60601000,ANINI-Y,5950.046399999999
60606000,CULASI,60601000,ANINI-Y,9511.425599999997
60610000,LIBERTAD,60601000,ANINI-Y,13550.001599999994
60614000,SAN REMIGIO,60601000,ANINI-Y,4116.141599999999
60602000,BARBAZA,60601000,ANINI-Y,7303.775999999998
60601000,ANINI-Y,60611000,PANDAN,11925.175199999994
60616000,SIBALOM,60611000,PANDAN,8651.685599999997
60605000,CALUYA,60611000,PANDAN,19658.4564
60615000,SEBASTE,60611000,PANDAN,1092.096
60607000,TOBIAS FORNIER,60611000,PANDAN,11062.965599999996
60608000,HAMTIC,60611000,PANDAN,9481.233599999996
60618000,VALDERRAMA,60611000,PANDAN,7942.9416
60612000,PATNONGON,60611000,PANDAN,7318.893599999996
60603000,BELISON,60611000,PANDAN,7953.667199999996
60609000,LAUA-AN,60611000,PANDAN,5080.5216
60617000,TIBIAO,60611000,PANDAN,3858.9084
60604000,BUGASONG,60611000,PANDAN,5975.128799999999
60606000,CULASI,60611000,PANDAN,2550.333599999999
60610000,LIBERTAD,60611000,PANDAN,1659.9624
60614000,SAN REMIGIO,60611000,PANDAN,9523.382399999997
60602000,BARBAZA,60611000,PANDAN,4621.3992
60601000,ANINI-Y,60616000,SIBALOM,3273.489599999999
60611000,PANDAN,60616000,SIBALOM,8651.685599999997
60605000,CALUYA,60616000,SIBALOM,28275.005999999998
60615000,SEBASTE,60616000,SIBALOM,7559.589600000002
60607000,TOBIAS FORNIER,60616000,SIBALOM,2411.28
60608000,HAMTIC,60616000,SIBALOM,829.548
60618000,VALDERRAMA,60616000,SIBALOM,4147.584
