dest_psgc,dest_municipality,src_psgc,src_municipality,travel_time
61910000,PANITAN,61914000,ROXAS,1123.812
61905000,IVISAN,61914000,ROXAS,757.0799999999999
61906000,JAMINDAN,61914000,ROXAS,3249.907200000001
61908000,MAMBUSAO,61914000,ROXAS,2296.98
61903000,DUMALAG,61914000,ROXAS,2891.9160000000006
61904000,DUMARAO,61914000,ROXAS,3113.8056000000006
61902000,DAO,61914000,ROXAS,2095.8528
61916000,SIGMA,61914000,ROXAS,1739.2584000000006
61901000,CUARTERO,61914000,ROXAS,2423.0088
61915000,SAPI-AN,61914000,ROXAS,1606.9392000000005
61917000,TAPAZ,61914000,ROXAS,4003.8912000000014
61912000,PONTEVEDRA,61914000,ROXAS,1309.284
61911000,PILAR,61914000,ROXAS,4200.499199999998
61909000,PANAY,61914000,ROXAS,594.1224000000001
61907000,MA-AYON,61914000,ROXAS,2247.1632000000004
61913000,PRESIDENT ROXAS,61914000,ROXAS,2675.8872
61905000,IVISAN,61910000,PANITAN,1135.2816
61906000,JAMINDAN,61910000,PANITAN,2692.7712
61908000,MAMBUSAO,61910000,PANITAN,1739.844
61903000,DUMALAG,61910000,PANITAN,2334.78
61904000,DUMARAO,61910000,PANITAN,2556.6696
61902000,DAO,61910000,PANITAN,1335.792
61916000,SIGMA,61910000,PANITAN,1182.1224000000002
61901000,CUARTERO,61910000,PANITAN,1865.8728
61915000,SAPI-AN,61910000,PANITAN,1905.1776
61917000,TAPAZ,61910000,PANITAN,3446.7552000000005
61912000,PONTEVEDRA,61910000,PANITAN,562.5936
61911000,PILAR,61910000,PANITAN,3131.8967999999995
61909000,PANAY,61910000,PANITAN,1089.6527999999998
61907000,MA-AYON,61910000,PANITAN,1178.5608000000002
61913000,PRESIDENT ROXAS,61910000,PANITAN,1607.2848
61910000,PANITAN,61905000,IVISAN,1135.2816
61906000,JAMINDAN,61905000,IVISAN,2492.8272
61908000,MAMBUSAO,61905000,IVISAN,1539.9
61903000,DUMALAG,61905000,IVISAN,2134.836
61904000,DUMARAO,61905000,IVISAN,2356.7256
61902000,DAO,61905000,IVISAN,1338.7728
61916000,SIGMA,61905000,IVISAN,982.1784
61901000,CUARTERO,61905000,IVISAN,1665.9288
61915000,SAPI-AN,61905000,IVISAN,849.8591999999999
61917000,TAPAZ,61905000,IVISAN,3246.8112
61912000,PONTEVEDRA,61905000,IVISAN,1673.3952
61911000,PILAR,61905000,IVISAN,4242.698399999998
61909000,PANAY,61905000,IVISAN,1266.8303999999998
61907000,MA-AYON,61905000,IVISAN,2289.362400000001
61913000,PRESIDENT ROXAS,61905000,IVISAN,2718.0864000000006
61910000,PANITAN,61906000,JAMINDAN,2692.7712
61905000,IVISAN,61906000,JAMINDAN,2492.8272
61908000,MAMBUSAO,61906000,JAMINDAN,952.9272
61903000,DUMALAG,61906000,JAMINDAN,2710.187999999999
61904000,DUMARAO,61906000,JAMINDAN,2951.7047999999995
61902000,DAO,61906000,JAMINDAN,1933.752
61916000,SIGMA,61906000,JAMINDAN,1592.6436
61901000,CUARTERO,61906000,JAMINDAN,2260.908
61915000,SAPI-AN,61906000,JAMINDAN,1690.3583999999998
61917000,TAPAZ,61906000,JAMINDAN,1598.2127999999998
61912000,PONTEVEDRA,61906000,JAMINDAN,3230.8848
61911000,PILAR,61906000,JAMINDAN,5800.187999999999
61909000,PANAY,61906000,JAMINDAN,3721.1304
61907000,MA-AYON,61906000,JAMINDAN,3681.204
61913000,PRESIDENT ROXAS,61906000,JAMINDAN,4275.576000000001
61910000,PANITAN,61908000,MAMBUSAO,1739.844
61905000,IVISAN,61908000,MAMBUSAO,1539.9
61906000,JAMINDAN,61908000,MAMBUSAO,952.9272
61903000,DUMALAG,61908000,MAMBUSAO,1776.888
61904000,DUMARAO,61908000,MAMBUSAO,1998.7776
61902000,DAO,61908000,MAMBUSAO,980.8248
61916000,SIGMA,61908000,MAMBUSAO,639.7164
61901000,CUARTERO,61908000,MAMBUSAO,1307.9807999999998
61915000,SAPI-AN,61908000,MAMBUSAO,774.9575999999998
61917000,TAPAZ,61908000,MAMBUSAO,2443.428
61912000,PONTEVEDRA,61908000,MAMBUSAO,2277.9576
61911000,PILAR,61908000,MAMBUSAO,4847.2608
61909000,PANAY,61908000,MAMBUSAO,2768.203199999999
61907000,MA-AYON,61908000,MAMBUSAO,2728.2768
61913000,PRESIDENT ROXAS,61908000,MAMBUSAO,3322.6488000000004
61910000,PANITAN,61903000,DUMALAG,2334.78
