dest_psgc,dest_municipality,src_psgc,src_municipality,travel_time
67903000,NUEVA VALENCIA,67902000,JORDAN,1525.7304000000004
67901000,BUENAVISTA,67902000,JORDAN,1037.8811999999998
67904000,SAN LORENZO,67902000,JORDAN,1522.8648000000003
67905000,SIBUNAG,67902000,JORDAN,1405.8864
67901000,BUENAVISTA,67903000,NUEVA VALENCIA,2285.1684000000005
67904000,SAN LORENZO,67903000,NUEVA VALENCIA,2098.2504000000004
67905000,SIBUNAG,67903000,NUEVA VALENCIA,1730.5632
67903000,NUEVA VALENCIA,67901000,BUENAVISTA,2285.1684000000005
67904000,SAN LORENZO,67901000,BUENAVISTA,1768.734
67905000,SIBUNAG,67901000,BUENAVISTA,2165.3244
67903000,NUEVA VALENCIA,67904000,SAN LORENZO,2098.2504000000004
67901000,BUENAVISTA,67904000,SAN LORENZO,1768.734
67905000,SIBUNAG,67904000,SAN LORENZO,1348.9056
67903000,NUEVA VALENCIA,67905000,SIBUNAG,1730.5632
67901000,BUENAVISTA,67905000,SIBUNAG,2165.3244
67904000,SAN LORENZO,67905000,SIBUNAG,1348.9056
