dest_psgc,dest_municipality,src_psgc,src_municipality,travel_time
63001000,AJUY,63022000,ILOILO,6410.534399999995
63014000,CARLES,63022000,ILOILO,10356.836399999998
63028000,LEON,63022000,ILOILO,2156.9772000000003
63020000,GUIMBAL,63022000,ILOILO,2226.654
63019000,ESTANCIA,63022000,ILOILO,9551.9436
63007000,BAROTAC NUEVO,63022000,ILOILO,2304.2195999999994
63015000,CONCEPCION,63022000,ILOILO,7263.536399999995
63044000,SARA,63022000,ILOILO,7136.561999999996
63013000,CALINOG,63022000,ILOILO,4294.5444000000025
63002000,ALIMODIAN,63022000,ILOILO,1711.3860000000009
63045000,TIGBAUAN,63022000,ILOILO,1672.8204
63012000,CABATUAN,63022000,ILOILO,1859.7276
63047000,ZARRAGA,63022000,ILOILO,1244.4875999999997
63038000,SAN DIONISIO,63022000,ILOILO,7783.779599999994
63042000,SAN RAFAEL,63022000,ILOILO,5409.734399999998
63036000,PAVIA,63022000,ILOILO,795.7332000000001
63034000,OTON,63022000,ILOILO,848.9028000000001
63046000,TUBUNGAN,63022000,ILOILO,3025.7003999999997
63030000,MIAGAO,63022000,ILOILO,2997.3852
63026000,LEGANES,63022000,ILOILO,900.5003999999999
63041000,SAN MIGUEL,63022000,ILOILO,1263.6864000000005
63023000,JANIUAY,63022000,ILOILO,2431.4459999999995
63043000,SANTA BARBARA,63022000,ILOILO,1252.7172000000005
63037000,POTOTAN,63022000,ILOILO,2257.902
63021000,IGBARAS,63022000,ILOILO,3364.621200000001
63040000,SAN JOAQUIN,63022000,ILOILO,3912.3396000000007
63003000,ANILAO,63022000,ILOILO,3091.9428000000003
63005000,BALASAN,63022000,ILOILO,9392.439599999994
63008000,BAROTAC VIEJO,63022000,ILOILO,4213.9476
63010000,BINGAWAN,63022000,ILOILO,5390.9172
63006000,BANATE,63022000,ILOILO,3696.716400000002
63016000,DINGLE,63022000,ILOILO,2798.9184
63032000,NEW LUCENA,63022000,ILOILO,1808.3916
63025000,LAMBUNAO,63022000,ILOILO,3512.9196000000024
63039000,SAN ENRIQUE,63022000,ILOILO,3574.2852000000003
63029000,MAASIN,63022000,ILOILO,2213.298
63018000,DUMANGAS,63022000,ILOILO,1927.4652
63009000,BATAD,63022000,ILOILO,8824.863599999993
63017000,DUEÑAS,63022000,ILOILO,3327.6492000000007
63004000,BADIANGAN,63022000,ILOILO,3310.201200000002
63035000,PASSI,63022000,ILOILO,3822.0108
63027000,LEMERY,63022000,ILOILO,6403.417199999996
63031000,MINA,63022000,ILOILO,2761.686
63014000,CARLES,63001000,AJUY,3977.8092
63028000,LEON,63001000,AJUY,7656.056399999996
63020000,GUIMBAL,63001000,AJUY,8227.241999999998
63019000,ESTANCIA,63001000,AJUY,3172.9164000000005
63007000,BAROTAC NUEVO,63001000,AJUY,4169.4732
63015000,CONCEPCION,63001000,AJUY,879.3899999999999
63044000,SARA,63001000,AJUY,757.5347999999999
63013000,CALINOG,63001000,AJUY,5344.254000000001
63002000,ALIMODIAN,63001000,AJUY,7210.465199999996
63045000,TIGBAUAN,63001000,AJUY,7673.408399999997
63012000,CABATUAN,63001000,AJUY,6525.046799999998
63047000,ZARRAGA,63001000,AJUY,5244.814799999999
63038000,SAN DIONISIO,63001000,AJUY,1404.7524
63042000,SAN RAFAEL,63001000,AJUY,2506.0968000000003
63036000,PAVIA,63001000,AJUY,6208.664399999996
63034000,OTON,63001000,AJUY,6849.490799999994
63046000,TUBUNGAN,63001000,AJUY,8524.779599999993
63030000,MIAGAO,63001000,AJUY,8997.9732
63026000,LEGANES,63001000,AJUY,5565.142799999998
63041000,SAN MIGUEL,63001000,AJUY,6762.765599999996
63023000,JANIUAY,63001000,AJUY,5947.458
63043000,SANTA BARBARA,63001000,AJUY,5934.841199999999
63037000,POTOTAN,63001000,AJUY,4820.137199999999
63021000,IGBARAS,63001000,AJUY,9365.2092
63040000,SAN JOAQUIN,63001000,AJUY,9912.9276
63003000,ANILAO,63001000,AJUY,3355.1676
63005000,BALASAN,63001000,AJUY,3013.4124
63008000,BAROTAC VIEJO,63001000,AJUY,2314.8924
63010000,BINGAWAN,63001000,AJUY,6114.092400000001
63006000,BANATE,63001000,AJUY,2752.89
63016000,DINGLE,63001000,AJUY,4378.980000000001
63032000,NEW LUCENA,63001000,AJUY,5348.393999999999
63025000,LAMBUNAO,63001000,AJUY,6031.422000000001
63039000,SAN ENRIQUE,63001000,AJUY,4648.647599999998
63029000,MAASIN,63001000,AJUY,6878.617199999999
63018000,DUMANGAS,63001000,AJUY,4788.9972
63009000,BATAD,63001000,AJUY,2445.8364
63017000,DUEÑAS,63001000,AJUY,4679.312399999999
63004000,BADIANGAN,63001000,AJUY,6775.9368
63035000,PASSI,63001000,AJUY,4422.346799999998
63027000,LEMERY,63001000,AJUY,1536.2244
63031000,MINA,63001000,AJUY,5323.921199999999
63001000,AJUY,63014000,CARLES,3977.8092
63028000,LEON,63014000,CARLES,11394.2496
63020000,GUIMBAL,63014000,CARLES,12166.934399999998
63019000,ESTANCIA,63014000,CARLES,1519.1879999999996
63007000,BAROTAC NUEVO,63014000,CARLES,8115.7752
63015000,CONCEPCION,63014000,CARLES,3611.8824
63044000,SARA,63014000,CARLES,3241.0344
63013000,CALINOG,63014000,CARLES,7846.480800000001
