dest_psgc,dest_municipality,src_psgc,src_municipality,travel_time
71247000,VALENCIA,71232000,MARIBOJOC,4078.2024
71224000,INABANGA,71232000,MARIBOJOC,3953.2464
71228000,LOAY,71232000,MARIBOJOC,2376.1512
71225000,JAGNA,71232000,MARIBOJOC,5605.379999999999
71242000,TAGBILARAN,71232000,MARIBOJOC,974.2319999999996
71233000,PANGLAO,71232000,MARIBOJOC,2107.6896
71214000,CLARIN,71232000,MARIBOJOC,3235.9992
71226000,GETAFE,71232000,MARIBOJOC,5483.270399999998
71201000,ALBURQUERQUE,71232000,MARIBOJOC,1888.9848
71206000,BALILIHAN,71232000,MARIBOJOC,1307.5488000000005
71222000,GARCIA HERNANDEZ,71232000,MARIBOJOC,4832.755199999999
71220000,DIMIAO,71232000,MARIBOJOC,3707.085600000002
71205000,BACLAYON,71232000,MARIBOJOC,1532.052
71202000,ALICIA,71232000,MARIBOJOC,6404.7672
71212000,CARMEN,71232000,MARIBOJOC,3831.5016
71210000,CALAPE,71232000,MARIBOJOC,2070.1368
71223000,GUINDULMAN,71232000,MARIBOJOC,7152.429599999996
71248000,BIEN UNIDO,71232000,MARIBOJOC,7236.316799999998
71211000,CANDIJAY,71232000,MARIBOJOC,7011.928799999999
71227000,LILA,71232000,MARIBOJOC,3077.121600000001
71239000,SEVILLA,71232000,MARIBOJOC,2354.7216
71229000,LOBOC,71232000,MARIBOJOC,2430.8316
71218000,DANAO,71232000,MARIBOJOC,4915.8576
71203000,ANDA,71232000,MARIBOJOC,8236.843199999994
71244000,TRINIDAD,71232000,MARIBOJOC,6636.995999999999
71219000,DAUIS,71232000,MARIBOJOC,1280.2679999999998
71236000,SAGBAYAN,71232000,MARIBOJOC,3339.9432
71246000,UBAY,71232000,MARIBOJOC,7420.463999999997
71207000,BATUAN,71232000,MARIBOJOC,3326.8344
71216000,CORTES,71232000,MARIBOJOC,441.1872
71208000,BILAR,71232000,MARIBOJOC,3541.3128
71243000,TALIBON,71232000,MARIBOJOC,7023.131999999999
71245000,TUBIGON,71232000,MARIBOJOC,2888.4600000000005
71235000,PRES. CARLOS P. GARCIA,71232000,MARIBOJOC,8992.024800000003
71215000,CORELLA,71232000,MARIBOJOC,1173.0384
71237000,SAN ISIDRO,71232000,MARIBOJOC,1747.5264000000002
71217000,DAGOHOY,71232000,MARIBOJOC,4820.6232
71231000,MABINI,71232000,MARIBOJOC,7342.682399999999
71240000,SIERRA BULLONES,71232000,MARIBOJOC,4699.2096
71241000,SIKATUNA,71232000,MARIBOJOC,1638.9288
71230000,LOON,71232000,MARIBOJOC,1099.9296
71213000,CATIGBIAN,71232000,MARIBOJOC,2301.5568000000003
71238000,SAN MIGUEL,71232000,MARIBOJOC,5829.2496
71234000,PILAR,71232000,MARIBOJOC,5224.4352
71204000,ANTEQUERA,71232000,MARIBOJOC,773.5391999999999
71209000,BUENAVISTA,71232000,MARIBOJOC,4723.536
71221000,DUERO,71232000,MARIBOJOC,6334.459199999998
71232000,MARIBOJOC,71247000,VALENCIA,4078.2024
71224000,INABANGA,71247000,VALENCIA,6168.6636
71228000,LOAY,71247000,VALENCIA,1757.7792
71225000,JAGNA,71247000,VALENCIA,1565.9136
71242000,TAGBILARAN,71247000,VALENCIA,3164.6664
71233000,PANGLAO,71247000,VALENCIA,3962.8872
71214000,CLARIN,71247000,VALENCIA,5810.970000000001
71226000,GETAFE,71247000,VALENCIA,7698.687599999997
71201000,ALBURQUERQUE,71247000,VALENCIA,2189.2176
71206000,BALILIHAN,71247000,VALENCIA,3869.5776
71222000,GARCIA HERNANDEZ,71247000,VALENCIA,793.2887999999998
71220000,DIMIAO,71247000,VALENCIA,416.1888
71205000,BACLAYON,71247000,VALENCIA,2567.2464
71202000,ALICIA,71247000,VALENCIA,4515.4512
71212000,CARMEN,71247000,VALENCIA,3559.1316
