dest_psgc,dest_municipality,src_psgc,src_municipality,travel_time
72245000,SANTANDER,72246000,SIBONGA,6071.0760000000055
72239000,RONDA,72246000,SIBONGA,2720.016
72211000,BOGO,72246000,SIBONGA,10779.919199999997
72241000,SAN FERNANDO,72246000,SIBONGA,1568.4983999999995
72205000,ARGAO,72246000,SIBONGA,1273.7472
72223000,DANAO,72246000,SIBONGA,5858.534400000003
72230000,MANDAUE,72246000,SIBONGA,4043.8176000000008
72226000,LAPU-LAPU,72246000,SIBONGA,4358.419200000001
72221000,DAANBANTAYAN,72246000,SIBONGA,12675.59279999999
72232000,MINGLANILLA,72246000,SIBONGA,2576.431199999999
72214000,CARCAR,72246000,SIBONGA,828.9503999999997
72249000,TABUELAN,72246000,SIBONGA,8772.6456
72224000,DUMANJUG,72246000,SIBONGA,2400.1272
72248000,TABOGON,72246000,SIBONGA,9677.9376
72219000,CONSOLACION,72246000,SIBONGA,4396.509600000001
72218000,COMPOSTELA,72246000,SIBONGA,5227.236000000002
72252000,TUBURAN,72246000,SIBONGA,7799.176799999999
72210000,BARILI,72246000,SIBONGA,2293.804799999999
72251000,TOLEDO,72246000,SIBONGA,4079.4264
72228000,MADRIDEJOS,72246000,SIBONGA,19360.98480000001
72201000,ALCANTARA,72246000,SIBONGA,2954.2752
72238000,PORO,72246000,SIBONGA,18650.90639999999
72215000,CARMEN,72246000,SIBONGA,6440.155200000003
72220000,CORDOVA,72246000,SIBONGA,4751.815200000001
72234000,NAGA,72246000,SIBONGA,2121.2316
72243000,SAN REMIGIO,72246000,SIBONGA,11046.311999999998
72235000,OSLOB,72246000,SIBONGA,4920.084000000002
72227000,LILOAN,72246000,SIBONGA,4775.623200000002
72247000,SOGOD,72246000,SIBONGA,7780.248000000002
72231000,MEDELLIN,72246000,SIBONGA,11493.254399999994
72216000,CATMON,72246000,SIBONGA,7528.248000000003
72204000,ALOGUINSAN,72246000,SIBONGA,2470.1471999999994
72207000,BADIAN,72246000,SIBONGA,3703.0896
72237000,PINAMUNGAHAN,72246000,SIBONGA,3050.2440000000006
72244000,SANTA FE,72246000,SIBONGA,18043.128
72213000,BORBON,72246000,SIBONGA,8640.993600000005
72250000,TALISAY,72246000,SIBONGA,2910.9816000000005
72202000,ALCOY,72246000,SIBONGA,3119.4216
72242000,SAN FRANCISCO,72246000,SIBONGA,18295.44479999999
