dest_psgc,dest_municipality,src_psgc,src_municipality,travel_time
87807000,MARIPIPI,87808000,NAVAL,5259.4032
87805000,CULABA,87808000,NAVAL,2173.2191999999995
87801000,ALMERIA,87808000,NAVAL,725.4
87804000,CAIBIRAN,87808000,NAVAL,1887.6648
87806000,KAWAYAN,87808000,NAVAL,1832.4864
87802000,BILIRAN,87808000,NAVAL,1420.2708
87803000,CABUGCAYAN,87808000,NAVAL,2431.8288
87805000,CULABA,87807000,MARIPIPI,5729.9015999999965
87801000,ALMERIA,87807000,MARIPIPI,4629.9072
87804000,CAIBIRAN,87807000,MARIPIPI,6992.073599999998
87806000,KAWAYAN,87807000,MARIPIPI,4413.252
87802000,BILIRAN,87807000,MARIPIPI,6538.806
87803000,CABUGCAYAN,87807000,MARIPIPI,7550.364
87807000,MARIPIPI,87805000,CULABA,5729.9015999999965
87801000,ALMERIA,87805000,CULABA,2519.6400000000003
87804000,CAIBIRAN,87805000,CULABA,1262.1719999999998
87806000,KAWAYAN,87805000,CULABA,1316.6495999999995
87802000,BILIRAN,87805000,CULABA,3459.6972
87803000,CABUGCAYAN,87805000,CULABA,2499.552
87807000,MARIPIPI,87801000,ALMERIA,4629.9072
87805000,CULABA,87801000,ALMERIA,2519.6400000000003
87804000,CAIBIRAN,87801000,ALMERIA,2544.7368
87806000,KAWAYAN,87801000,ALMERIA,1202.9904
87802000,BILIRAN,87801000,ALMERIA,2004.8028
87803000,CABUGCAYAN,87801000,ALMERIA,3016.3608
87807000,MARIPIPI,87804000,CAIBIRAN,6992.073599999997
87805000,CULABA,87804000,CAIBIRAN,1262.1719999999998
87801000,ALMERIA,87804000,CAIBIRAN,2544.7368
87806000,KAWAYAN,87804000,CAIBIRAN,2578.8215999999998
87802000,BILIRAN,87804000,CAIBIRAN,2359.7928000000006
87803000,CABUGCAYAN,87804000,CAIBIRAN,1320.6911999999998
87807000,MARIPIPI,87806000,KAWAYAN,4413.252
87805000,CULABA,87806000,KAWAYAN,1316.6495999999995
87801000,ALMERIA,87806000,KAWAYAN,1202.9904
87804000,CAIBIRAN,87806000,KAWAYAN,2578.8215999999998
87802000,BILIRAN,87806000,KAWAYAN,3111.8892000000005
87803000,CABUGCAYAN,87806000,KAWAYAN,3816.2016
87807000,MARIPIPI,87802000,BILIRAN,6538.806
87805000,CULABA,87802000,BILIRAN,3459.6972
87801000,ALMERIA,87802000,BILIRAN,2004.8028
87804000,CAIBIRAN,87802000,BILIRAN,2359.7928000000006
87806000,KAWAYAN,87802000,BILIRAN,3111.8892000000005
87803000,CABUGCAYAN,87802000,BILIRAN,1106.7096
87807000,MARIPIPI,87803000,CABUGCAYAN,7550.364
87805000,CULABA,87803000,CABUGCAYAN,2499.552
87801000,ALMERIA,87803000,CABUGCAYAN,3016.3608
87804000,CAIBIRAN,87803000,CABUGCAYAN,1320.6911999999998
87806000,KAWAYAN,87803000,CABUGCAYAN,3816.2016
87802000,BILIRAN,87803000,CABUGCAYAN,1106.7096
