dest_psgc,dest_municipality,src_psgc,src_municipality,travel_time
82617000,ORAS,82609000,GUIUAN,14283.3384
82615000,MAYDOLONG,82609000,GUIUAN,6765.710400000002
82602000,BALANGIGA,82609000,GUIUAN,4478.8104
82605000,CAN-AVID,82609000,GUIUAN,12594.592799999997
82618000,QUINAPONDAN,82609000,GUIUAN,2904.4440000000004
82601000,ARTECHE,82609000,GUIUAN,17030.656800000004
82608000,GIPORLOS,82609000,GUIUAN,3934.728
82612000,LAWAAN,82609000,GUIUAN,5320.2024
82621000,SAN POLICARPO,82609000,GUIUAN,15233.176800000005
82619000,SALCEDO,82609000,GUIUAN,1365.4632
82606000,DOLORES,82609000,GUIUAN,13064.702399999996
82623000,TAFT,82609000,GUIUAN,11729.152800000003
82614000,MASLOG,82609000,GUIUAN,17926.679999999993
82616000,MERCEDES,82609000,GUIUAN,737.7119999999999
82603000,BALANGKAYAN,82609000,GUIUAN,6029.863200000002
82622000,SULAT,82609000,GUIUAN,10888.120800000006
82620000,SAN JULIAN,82609000,GUIUAN,10274.378400000003
82613000,LLORENTE,82609000,GUIUAN,5533.096800000001
82610000,HERNANI,82609000,GUIUAN,4210.056
82607000,GENERAL MACARTHUR,82609000,GUIUAN,3177.9072
82611000,JIPAPAD,82609000,GUIUAN,18563.346
82609000,GUIUAN,82617000,ORAS,14283.3384
82615000,MAYDOLONG,82617000,ORAS,7714.187999999998
82602000,BALANGIGA,82617000,ORAS,13664.131200000002
82605000,CAN-AVID,82617000,ORAS,1759.3776000000005
82618000,QUINAPONDAN,82617000,ORAS,12089.764799999995
82601000,ARTECHE,82617000,ORAS,2873.8944
82608000,GIPORLOS,82617000,ORAS,13120.0488
82612000,LAWAAN,82617000,ORAS,14505.523200000003
82621000,SAN POLICARPO,82617000,ORAS,1076.4144
82619000,SALCEDO,82617000,ORAS,12951.595199999998
82606000,DOLORES,82617000,ORAS,1253.052
82623000,TAFT,82617000,ORAS,2662.7616
82614000,MASLOG,82617000,ORAS,6719.210400000002
82616000,MERCEDES,82617000,ORAS,13545.6264
82603000,BALANGKAYAN,82617000,ORAS,8253.4752
82622000,SULAT,82617000,ORAS,3628.2816
82620000,SAN JULIAN,82617000,ORAS,4008.96
82613000,LLORENTE,82617000,ORAS,8992.2576
82610000,HERNANI,82617000,ORAS,10073.2824
82607000,GENERAL MACARTHUR,82617000,ORAS,11242.375199999997
82611000,JIPAPAD,82617000,ORAS,4406.5836
82609000,GUIUAN,82615000,MAYDOLONG,6765.710400000002
82617000,ORAS,82615000,MAYDOLONG,7714.187999999998
82602000,BALANGIGA,82615000,MAYDOLONG,6146.503200000001
82605000,CAN-AVID,82615000,MAYDOLONG,6025.442399999998
82618000,QUINAPONDAN,82615000,MAYDOLONG,4572.1368
82601000,ARTECHE,82615000,MAYDOLONG,10461.506399999997
