dest_psgc,dest_municipality,src_psgc,src_municipality,travel_time
83738000,ORMOC,83748000,TANUAN,7407.412800000001
83706000,BARUGO,83748000,TANUAN,3488.932799999999
83740000,PALOMPON,83748000,TANUAN,8517.780000000004
83749000,TOLOSA,83748000,TANUAN,505.1016
83719000,HILONGOS,83748000,TANUAN,9038.930400000005
83722000,ISABEL,83748000,TANUAN,9943.378800000006
83710000,BURAUEN,83748000,TANUAN,1924.0272
83721000,INOPACAN,83748000,TANUAN,7882.063200000003
83735000,MAYORGA,83748000,TANUAN,1819.584
83703000,ALBUERA,83748000,TANUAN,6335.916000000001
83739000,PALO,83748000,TANUAN,485.4095999999999
83734000,MATALOM,83748000,TANUAN,9944.906400000003
83745000,TABANGO,83748000,TANUAN,7899.556800000001
83726000,KANANGA,83748000,TANUAN,5824.627199999998
83725000,JULITA,83748000,TANUAN,1952.136
83718000,DULAG,83748000,TANUAN,1459.8648000000003
83746000,TABONTABON,83748000,TANUAN,1017.696
83736000,MERIDA,83748000,TANUAN,9094.581600000003
83715000,CARIGARA,83748000,TANUAN,3618.8208
83708000,BAYBAY,83748000,TANUAN,6410.352000000003
83707000,BATO,83748000,TANUAN,9536.853600000004
83730000,MACARTHUR,83748000,TANUAN,2454.1992000000005
83701000,ABUYOG,83748000,TANUAN,3453.876
83744000,SANTA FE,83748000,TANUAN,1177.848
83731000,MAHAPLAG,83748000,TANUAN,5029.873199999999
83713000,CALUBIAN,83748000,TANUAN,7231.345199999998
83741000,PASTRANA,83748000,TANUAN,1439.1072
83742000,SAN ISIDRO,83748000,TANUAN,7904.563200000001
83728000,LA PAZ,83748000,TANUAN,2277.2736000000004
83714000,CAPOOCAN,83748000,TANUAN,3891.5424000000007
83702000,ALANGALANG,83748000,TANUAN,1764.1511999999998
83705000,BABATNGON,83748000,TANUAN,3441.8952
83750000,TUNGA,83748000,TANUAN,2829.7188
83729000,LEYTE,83748000,TANUAN,5887.267199999999
83733000,MATAG-OB,83748000,TANUAN,6916.773599999998
83751000,VILLABA,83748000,TANUAN,7896.769200000001
83720000,HINDANG,83748000,TANUAN,8539.502400000003
83723000,JARO,83748000,TANUAN,2357.9783999999995
83717000,DAGAMI,83748000,TANUAN,1083.54
83724000,JAVIER (BUGHO),83748000,TANUAN,3150.8712
83743000,SAN MIGUEL,83748000,TANUAN,2590.7472
83748000,TANUAN,83738000,ORMOC,7407.412800000001
83706000,BARUGO,83738000,ORMOC,4510.828800000001
83740000,PALOMPON,83738000,ORMOC,3146.685599999999
83749000,TOLOSA,83738000,ORMOC,7652.961600000002
83719000,HILONGOS,83738000,ORMOC,6279.6456
83722000,ISABEL,83738000,ORMOC,3405.4439999999986
83710000,BURAUEN,83738000,ORMOC,5593.761600000002
83721000,INOPACAN,83738000,ORMOC,5122.7784
83735000,MAYORGA,83738000,ORMOC,6937.1592
83703000,ALBUERA,83738000,ORMOC,1135.2167999999997
83739000,PALO,83738000,ORMOC,6986.736000000001
83734000,MATALOM,83738000,ORMOC,7185.621599999999
83745000,TABANGO,83738000,ORMOC,4311.031199999999
83726000,KANANGA,83738000,ORMOC,1647.5183999999997
83725000,JULITA,83738000,ORMOC,6107.344800000002
83718000,DULAG,83738000,ORMOC,6751.713600000001
83746000,TABONTABON,83738000,ORMOC,6946.838400000001
83736000,MERIDA,83738000,ORMOC,2035.6152
83715000,CARIGARA,83738000,ORMOC,4059.259200000001
83708000,BAYBAY,83738000,ORMOC,3407.903999999999
83707000,BATO,83738000,ORMOC,6777.5688
83730000,MACARTHUR,83738000,ORMOC,7314.155999999998
83701000,ABUYOG,83738000,ORMOC,6729.179999999999
83744000,SANTA FE,83738000,ORMOC,6377.8896
83731000,MAHAPLAG,83738000,ORMOC,5425.0524000000005
83713000,CALUBIAN,83738000,ORMOC,5069.3436
83741000,PASTRANA,83738000,ORMOC,6483.967200000001
83742000,SAN ISIDRO,83738000,ORMOC,5322.945600000001
83728000,LA PAZ,83738000,ORMOC,6528.789600000001
83714000,CAPOOCAN,83738000,ORMOC,3625.4592
83702000,ALANGALANG,83738000,ORMOC,5771.642399999999
83705000,BABATNGON,83738000,ORMOC,6258.931199999997
83750000,TUNGA,83738000,ORMOC,4672.414799999999
83729000,LEYTE,83738000,ORMOC,3725.2656000000015
83733000,MATAG-OB,83738000,ORMOC,2424.7584000000006
83751000,VILLABA,83738000,ORMOC,3404.754000000001
83720000,HINDANG,83738000,ORMOC,5780.217600000001
83723000,JARO,83738000,ORMOC,5190.6744
83717000,DAGAMI,83738000,ORMOC,6363.451200000001
83724000,JAVIER (BUGHO),83738000,ORMOC,7204.211999999999
83743000,SAN MIGUEL,83738000,ORMOC,5274.086399999999
83748000,TANUAN,83706000,BARUGO,3488.932799999999
83738000,ORMOC,83706000,BARUGO,4510.828800000001
83740000,PALOMPON,83706000,BARUGO,5556.463200000001
83749000,TOLOSA,83706000,BARUGO,3959.0063999999993
83719000,HILONGOS,83706000,BARUGO,10740.6936
