dest_psgc,dest_municipality,src_psgc,src_municipality,travel_time
84806000,CATUBIG,84808000,LAOANG,1854.2304
84802000,BIRI,84808000,LAOANG,12437.323200000008
84811000,LAVEZARES,84808000,LAOANG,6337.987200000001
84804000,CAPUL,84808000,LAOANG,21495.112800000006
84819000,SAN JOSE,84808000,LAOANG,5013.3192
84810000,LAS NAVAS,84808000,LAOANG,2639.4791999999998
84817000,SAN ANTONIO,84808000,LAOANG,13188.009600000009
84814000,PALAPAG,84808000,LAOANG,1186.4568000000002
84820000,SAN ROQUE,84808000,LAOANG,1569.696
84801000,ALLEN,84808000,LAOANG,6914.8824
84822000,SILVINO LOBOS,84808000,LAOANG,4587.360000000001
84824000,LOPE DE VEGA,84808000,LAOANG,6031.507200000002
84818000,SAN ISIDRO,84808000,LAOANG,8318.183999999997
84807000,GAMAY,84808000,LAOANG,4010.8896
84821000,SAN VICENTE,84808000,LAOANG,42918.216
84812000,MAPANAS,84808000,LAOANG,2877.8880000000004
84823000,VICTORIA,84808000,LAOANG,7672.365599999996
84809000,LAPINIG,84808000,LAOANG,4738.490400000001
84815000,PAMBUJAN,84808000,LAOANG,1238.6064
84816000,ROSARIO,84808000,LAOANG,5541.734399999999
84813000,MONDRAGON,84808000,LAOANG,2664.5567999999994
84803000,BOBON,84808000,LAOANG,4315.305600000001
84808000,LAOANG,84806000,CATUBIG,1854.2304
84802000,BIRI,84806000,CATUBIG,13387.394400000005
84811000,LAVEZARES,84806000,CATUBIG,7288.058400000002
84804000,CAPUL,84806000,CATUBIG,22445.184000000005
84819000,SAN JOSE,84806000,CATUBIG,5963.3904
84810000,LAS NAVAS,84806000,CATUBIG,953.7408
84817000,SAN ANTONIO,84806000,CATUBIG,14138.080800000003
84814000,PALAPAG,84806000,CATUBIG,1984.44
84820000,SAN ROQUE,84806000,CATUBIG,2519.7672
84801000,ALLEN,84806000,CATUBIG,7864.953599999999
84822000,SILVINO LOBOS,84806000,CATUBIG,5537.431200000001
84824000,LOPE DE VEGA,84806000,CATUBIG,6981.578400000002
84818000,SAN ISIDRO,84806000,CATUBIG,9268.255199999996
