dest_psgc,dest_municipality,src_psgc,src_municipality,travel_time
86024000,TAGAPUL-AN,86023000,ZUMARRAGA,31287.81360000001
86003000,CALBAYOG,86023000,ZUMARRAGA,11814.419999999996
86004000,CALBIGA,86023000,ZUMARRAGA,10277.565600000002
86002000,BASEY,86023000,ZUMARRAGA,13647.4416
86016000,SANTA MARGARITA,86023000,ZUMARRAGA,11244.093599999997
86006000,DARAM,86023000,ZUMARRAGA,4713.42
86007000,GANDARA,86023000,ZUMARRAGA,9668.7552
86025000,SAN JORGE,86023000,ZUMARRAGA,9196.428
86013000,PINABACDAO,86023000,ZUMARRAGA,10974.7056
86019000,TALALORA,86023000,ZUMARRAGA,12512.517600000005
86001000,ALMAGRO,86023000,ZUMARRAGA,29356.305600000007
86020000,TARANGNAN,86023000,ZUMARRAGA,9206.4696
86018000,SANTO NINO,86023000,ZUMARRAGA,11125.4232
86022000,PARANAS (WRIGHT),86023000,ZUMARRAGA,8629.716
86008000,HINABANGAN,86023000,ZUMARRAGA,9356.2176
86012000,MOTIONG,86023000,ZUMARRAGA,8225.9256
86009000,JIABONG,86023000,ZUMARRAGA,7613.184
86010000,MARABUT,86023000,ZUMARRAGA,14990.340000000002
86021000,VILLAREAL,86023000,ZUMARRAGA,11278.370400000002
86026000,PAGSANGHAN,86023000,ZUMARRAGA,10181.148
86015000,SAN SEBASTIAN,86023000,ZUMARRAGA,10525.8384
86017000,SANTA RITA,86023000,ZUMARRAGA,12621.284400000004
86014000,SAN JOSE DE BUAN,86023000,ZUMARRAGA,11734.3296
86011000,MATUGUINAO,86023000,ZUMARRAGA,11258.4576
86023000,ZUMARRAGA,86024000,TAGAPUL-AN,31287.81360000001
86003000,CALBAYOG,86024000,TAGAPUL-AN,19482.8256
86004000,CALBIGA,86024000,TAGAPUL-AN,27972.54720000001
86002000,BASEY,86024000,TAGAPUL-AN,31342.42320000001
86016000,SANTA MARGARITA,86024000,TAGAPUL-AN,20043.72000000001
86006000,DARAM,86024000,TAGAPUL-AN,31346.409600000006
86007000,GANDARA,86024000,TAGAPUL-AN,21709.926000000007
86025000,SAN JORGE,86024000,TAGAPUL-AN,22091.38560000001
86013000,PINABACDAO,86024000,TAGAPUL-AN,28669.68720000001
86019000,TALALORA,86024000,TAGAPUL-AN,30207.499200000013
86001000,ALMAGRO,86024000,TAGAPUL-AN,36849.204
86020000,TARANGNAN,86024000,TAGAPUL-AN,23647.598400000013
86018000,SANTO NINO,86024000,TAGAPUL-AN,28820.40480000001
86022000,PARANAS (WRIGHT),86024000,TAGAPUL-AN,26324.69760000001
86008000,HINABANGAN,86024000,TAGAPUL-AN,27051.199200000017
86012000,MOTIONG,86024000,TAGAPUL-AN,25920.907200000016
86009000,JIABONG,86024000,TAGAPUL-AN,25308.16560000001
86010000,MARABUT,86024000,TAGAPUL-AN,32685.32160000001
86021000,VILLAREAL,86024000,TAGAPUL-AN,28973.352000000014
86026000,PAGSANGHAN,86024000,TAGAPUL-AN,23153.46720000001
86015000,SAN SEBASTIAN,86024000,TAGAPUL-AN,28220.820000000014
86017000,SANTA RITA,86024000,TAGAPUL-AN,30316.26600000001
86014000,SAN JOSE DE BUAN,86024000,TAGAPUL-AN,29429.31120000001
86011000,MATUGUINAO,86024000,TAGAPUL-AN,23252.98320000001
86023000,ZUMARRAGA,86003000,CALBAYOG,11814.419999999996
86024000,TAGAPUL-AN,86003000,CALBAYOG,19482.8256
86004000,CALBIGA,86003000,CALBAYOG,8499.153600000003
86002000,BASEY,86003000,CALBAYOG,11869.0296
86016000,SANTA MARGARITA,86003000,CALBAYOG,570.3263999999999
86006000,DARAM,86003000,CALBAYOG,11873.015999999996
86007000,GANDARA,86003000,CALBAYOG,2236.5324
86025000,SAN JORGE,86003000,CALBAYOG,2617.992
86013000,PINABACDAO,86003000,CALBAYOG,9196.2936
86019000,TALALORA,86003000,CALBAYOG,10734.105600000004
86001000,ALMAGRO,86003000,CALBAYOG,17551.3176
86020000,TARANGNAN,86003000,CALBAYOG,4174.204800000001
86018000,SANTO NINO,86003000,CALBAYOG,9347.0112
86022000,PARANAS (WRIGHT),86003000,CALBAYOG,6851.304000000002
86008000,HINABANGAN,86003000,CALBAYOG,7577.805600000002
86012000,MOTIONG,86003000,CALBAYOG,6447.513600000002
86009000,JIABONG,86003000,CALBAYOG,5834.772000000001
86010000,MARABUT,86003000,CALBAYOG,13211.928000000002
86021000,VILLAREAL,86003000,CALBAYOG,9499.9584
86026000,PAGSANGHAN,86003000,CALBAYOG,3680.0736
86015000,SAN SEBASTIAN,86003000,CALBAYOG,8747.426400000002
86017000,SANTA RITA,86003000,CALBAYOG,10842.872400000004
86014000,SAN JOSE DE BUAN,86003000,CALBAYOG,9955.9176
86011000,MATUGUINAO,86003000,CALBAYOG,3779.5896
86023000,ZUMARRAGA,86005000,CATBALOGAN,6830.183999999999
86024000,TAGAPUL-AN,86005000,CATBALOGAN,24525.165600000008
86003000,CALBAYOG,86005000,CATBALOGAN,5051.772000000001
86004000,CALBIGA,86005000,CATBALOGAN,3466.2456
86002000,BASEY,86005000,CATBALOGAN,6836.1216
