dest_psgc,dest_municipality,src_psgc,src_municipality,travel_time
86402000,BONTOC,86417000,SOGOD,338.844
86415000,SAN RICARDO,86417000,SOGOD,5569.003199999999
86408000,MACROHON,86417000,SOGOD,4074.3912
86409000,MALITBOG,86417000,SOGOD,2181.511200000001
86410000,PADRE BURGOS,86417000,SOGOD,3319.3848000000007
86414000,SAN JUAN,86417000,SOGOD,3854.244
86406000,LILOAN,86417000,SOGOD,2932.7663999999995
86403000,HINUNANGAN,86417000,SOGOD,5851.598400000001
86404000,HINUNDAYAN,86417000,SOGOD,5410.8336
86405000,LIBAGON,86417000,SOGOD,783.768
86401000,ANAHAWAN,86417000,SOGOD,4763.236799999999
86419000,LIMASAWA,86417000,SOGOD,8220.7656
86416000,SILAGO,86417000,SOGOD,7127.071200000002
86411000,PINTUYAN,86417000,SOGOD,5339.798400000001
86418000,TOMAS OPPUS,86417000,SOGOD,1252.0560000000005
86413000,SAN FRANCISCO,86417000,SOGOD,3964.3536
86412000,SAINT BERNARD,86417000,SOGOD,3607.9944
86417000,SOGOD,86402000,BONTOC,338.844
86415000,SAN RICARDO,86402000,BONTOC,5884.9992
86408000,MACROHON,86402000,BONTOC,3783.5712
86409000,MALITBOG,86402000,BONTOC,1890.6912
86410000,PADRE BURGOS,86402000,BONTOC,3028.5648
86414000,SAN JUAN,86402000,BONTOC,4170.240000000001
86406000,LILOAN,86402000,BONTOC,3248.7624
86403000,HINUNANGAN,86402000,BONTOC,6167.594400000001
86404000,HINUNDAYAN,86402000,BONTOC,5726.829600000001
86405000,LIBAGON,86402000,BONTOC,1099.764
86401000,ANAHAWAN,86402000,BONTOC,5079.2328
86419000,LIMASAWA,86402000,BONTOC,7929.945599999999
86416000,SILAGO,86402000,BONTOC,7443.067200000002
86411000,PINTUYAN,86402000,BONTOC,5655.7944000000025
86418000,TOMAS OPPUS,86402000,BONTOC,961.236
86413000,SAN FRANCISCO,86402000,BONTOC,4280.3496
86412000,SAINT BERNARD,86402000,BONTOC,3923.9904
86417000,SOGOD,86407000,MAASIN,3612.798
86402000,BONTOC,86407000,MAASIN,3321.978
86415000,SAN RICARDO,86407000,MAASIN,9158.953200000002
86408000,MACROHON,86407000,MAASIN,1166.1984000000002
86409000,MALITBOG,86407000,MAASIN,3166.2864
86410000,PADRE BURGOS,86407000,MAASIN,1970.6688000000004
86414000,SAN JUAN,86407000,MAASIN,7444.193999999999
86406000,LILOAN,86407000,MAASIN,6522.716399999999
86403000,HINUNANGAN,86407000,MAASIN,9441.5484
86404000,HINUNDAYAN,86407000,MAASIN,9000.7836
86405000,LIBAGON,86407000,MAASIN,4373.717999999999
86401000,ANAHAWAN,86407000,MAASIN,8353.186799999998
86419000,LIMASAWA,86407000,MAASIN,6891.215999999999
86416000,SILAGO,86407000,MAASIN,10717.0212
86411000,PINTUYAN,86407000,MAASIN,8929.748400000002
86418000,TOMAS OPPUS,86407000,MAASIN,3674.0676000000008
86413000,SAN FRANCISCO,86407000,MAASIN,7554.303599999998
