dest_psgc,dest_municipality,src_psgc,src_municipality,travel_time
64531000,VICTORIAS,64501000,BACOLOD,2570.5680000000007
64523000,SAGAY,64501000,BACOLOD,6102.3456000000015
64524000,SAN CARLOS,64501000,BACOLOD,5976.520799999997
64526000,SILAY,64501000,BACOLOD,1176.0
64527000,SIPALAY,64501000,BACOLOD,12094.840799999998
64522000,PULUPANDAN,64501000,BACOLOD,2191.4832
64529000,TOBOSO,64501000,BACOLOD,7821.403199999999
64520000,MURCIA,64501000,BACOLOD,992.976
64509000,ESCALANTE,64501000,BACOLOD,7133.803200000002
64518000,MANAPLA,64501000,BACOLOD,3218.0543999999995
64521000,PONTEVEDRA,64501000,BACOLOD,2831.9184000000014
64519000,MOISES PADILLA (MAGALLON),64501000,BACOLOD,5099.181599999997
64530000,VALLADOLID,64501000,BACOLOD,2017.8144
64506000,CANDONI,64501000,BACOLOD,9282.506400000004
64505000,CALATRAVA,64501000,BACOLOD,6579.338399999999
64502000,BAGO,64501000,BACOLOD,1477.4423999999997
64504000,CADIZ,64501000,BACOLOD,4575.6408
64528000,TALISAY,64501000,BACOLOD,775.1664000000001
64512000,HINOBA-AN,64501000,BACOLOD,13383.885599999996
64525000,SAN ENRIQUE,64501000,BACOLOD,2414.3904
64508000,ENRIQUE B. MAGALONA (SARAVIA),64501000,BACOLOD,1845.2112000000009
64532000,SALVADOR BENEDICTO,64501000,BACOLOD,3095.359200000001
64503000,BINALBAGAN,64501000,BACOLOD,4584.571199999999
64514000,ISABELA,64501000,BACOLOD,5048.114399999999
64515000,KABANKALAN,64501000,BACOLOD,6400.861199999999
64516000,LA CARLOTA,64501000,BACOLOD,2481.4128
64510000,HIMAMAYLAN,64501000,BACOLOD,5364.784799999999
64517000,LA CASTELLANA,64501000,BACOLOD,4067.1288
64511000,HINIGARAN,64501000,BACOLOD,3667.795200000002
64507000,CAUAYAN,64501000,BACOLOD,7939.209599999999
64513000,ILOG,64501000,BACOLOD,7030.315199999999
64523000,SAGAY,64531000,VICTORIAS,3739.2936
64524000,SAN CARLOS,64531000,VICTORIAS,7927.139999999999
64526000,SILAY,64531000,VICTORIAS,1441.704
64527000,SIPALAY,64531000,VICTORIAS,14665.408799999994
64522000,PULUPANDAN,64531000,VICTORIAS,4762.051200000002
64529000,TOBOSO,64531000,VICTORIAS,5623.6056
64520000,MURCIA,64531000,VICTORIAS,3398.3112
64509000,ESCALANTE,64531000,VICTORIAS,4770.7512
64518000,MANAPLA,64531000,VICTORIAS,855.0023999999999
64521000,PONTEVEDRA,64531000,VICTORIAS,5402.486400000003
64519000,MOISES PADILLA (MAGALLON),64531000,VICTORIAS,7669.749599999997
64530000,VALLADOLID,64531000,VICTORIAS,4588.382400000002
64506000,CANDONI,64531000,VICTORIAS,11853.0744
64505000,CALATRAVA,64531000,VICTORIAS,6739.907999999999
64502000,BAGO,64531000,VICTORIAS,4048.010400000002
64504000,CADIZ,64531000,VICTORIAS,2212.5887999999995
64528000,TALISAY,64531000,VICTORIAS,1930.4376
64512000,HINOBA-AN,64531000,VICTORIAS,15954.453599999992
64525000,SAN ENRIQUE,64531000,VICTORIAS,4984.958400000001
64508000,ENRIQUE B. MAGALONA (SARAVIA),64531000,VICTORIAS,856.824
64532000,SALVADOR BENEDICTO,64531000,VICTORIAS,5500.694400000002
64503000,BINALBAGAN,64531000,VICTORIAS,7155.1392000000005
64514000,ISABELA,64531000,VICTORIAS,7618.682399999998
64515000,KABANKALAN,64531000,VICTORIAS,8971.429199999999
64516000,LA CARLOTA,64531000,VICTORIAS,5051.980800000001
64510000,HIMAMAYLAN,64531000,VICTORIAS,7935.352799999999
64517000,LA CASTELLANA,64531000,VICTORIAS,6637.6968000000015
64511000,HINIGARAN,64531000,VICTORIAS,6238.363200000003
64507000,CAUAYAN,64531000,VICTORIAS,10509.777599999998
64513000,ILOG,64531000,VICTORIAS,9600.883199999998
64531000,VICTORIAS,64523000,SAGAY,3739.2936
64524000,SAN CARLOS,64523000,SAGAY,5177.9832
64526000,SILAY,64523000,SAGAY,5143.9056
64527000,SIPALAY,64523000,SAGAY,18184.2408
64522000,PULUPANDAN,64523000,SAGAY,8280.883200000004
64529000,TOBOSO,64523000,SAGAY,2874.4488000000006
64520000,MURCIA,64523000,SAGAY,6772.588800000002
64509000,ESCALANTE,64523000,SAGAY,2021.5944
64518000,MANAPLA,64523000,SAGAY,3301.392
64521000,PONTEVEDRA,64523000,SAGAY,8921.318400000004
64519000,MOISES PADILLA (MAGALLON),64523000,SAGAY,11060.6184
64530000,VALLADOLID,64523000,SAGAY,8107.2144000000035
64506000,CANDONI,64523000,SAGAY,15371.906400000003
64505000,CALATRAVA,64523000,SAGAY,3990.751199999999
64502000,BAGO,64523000,SAGAY,7566.842400000001
64504000,CADIZ,64523000,SAGAY,1851.3048
64528000,TALISAY,64523000,SAGAY,5370.2568
64512000,HINOBA-AN,64523000,SAGAY,19473.2856
64525000,SAN ENRIQUE,64523000,SAGAY,8503.790400000002
64508000,ENRIQUE B. MAGALONA (SARAVIA),64523000,SAGAY,4576.384800000001
64532000,SALVADOR BENEDICTO,64523000,SAGAY,4914.287999999999
64503000,BINALBAGAN,64523000,SAGAY,10673.971200000004
64514000,ISABELA,64523000,SAGAY,11137.5144
64515000,KABANKALAN,64523000,SAGAY,12490.2612
64516000,LA CARLOTA,64523000,SAGAY,8442.849600000001
64510000,HIMAMAYLAN,64523000,SAGAY,11454.184800000005
64517000,LA CASTELLANA,64523000,SAGAY,10028.5656
64511000,HINIGARAN,64523000,SAGAY,9757.195200000002
64507000,CAUAYAN,64523000,SAGAY,14028.609600000002
64513000,ILOG,64523000,SAGAY,13119.715200000002
64531000,VICTORIAS,64524000,SAN CARLOS,7927.139999999999
64523000,SAGAY,64524000,SAN CARLOS,5177.9832
64526000,SILAY,64524000,SAN CARLOS,7055.587199999995
64527000,SIPALAY,64524000,SAN CARLOS,16964.692800000004
64522000,PULUPANDAN,64524000,SAN CARLOS,7843.780799999998
64529000,TOBOSO,64524000,SAN CARLOS,2516.2296
64520000,MURCIA,64524000,SAN CARLOS,5010.828
64509000,ESCALANTE,64524000,SAN CARLOS,4259.76
64518000,MANAPLA,64524000,SAN CARLOS,7489.238399999999
