dest_psgc,dest_municipality,src_psgc,src_municipality,travel_time
74606000,BAYAWAN (TULONG),74610000,DUMAGUETE,6523.415999999998
74625000,ZAMBOANGUITA,74610000,DUMAGUETE,2021.1503999999989
74603000,BACONG,74610000,DUMAGUETE,598.7904000000002
74612000,JIMALALUD,74610000,DUMAGUETE,7203.780000000001
74611000,GUIHULNGAN,74610000,DUMAGUETE,8572.0176
74608000,CANLAON,74610000,DUMAGUETE,12171.463199999987
74618000,SANTA CATALINA,74610000,DUMAGUETE,6000.451200000004
74620000,SIBULAN,74610000,DUMAGUETE,540.7056
74623000,VALENCIA (LUZURRIAGA),74610000,DUMAGUETE,633.9048000000001
74609000,DAUIN,74610000,DUMAGUETE,1088.7984
74624000,VALLEHERMOSO,74610000,DUMAGUETE,10635.883199999982
74616000,PAMPLONA,74610000,DUMAGUETE,2851.9488
74601000,AMLAN (AYUQUITAN),74610000,DUMAGUETE,1650.5712
74602000,AYUNGON,74610000,DUMAGUETE,6144.472800000005
74604000,BAIS,74610000,DUMAGUETE,3354.616799999999
74621000,TANJAY,74610000,DUMAGUETE,2396.944799999999
74615000,MANJUYOD,74610000,DUMAGUETE,4417.6752000000015
74614000,MABINAY,74610000,DUMAGUETE,6400.545600000002
74617000,SAN JOSE,74610000,DUMAGUETE,1214.9136
74619000,SIATON,74610000,DUMAGUETE,3610.3392
74613000,LA LIBERTAD,74610000,DUMAGUETE,7699.6871999999985
74622000,TAYASAN,74610000,DUMAGUETE,6675.768000000001
74605000,BASAY,74610000,DUMAGUETE,8275.339199999999
74607000,BINDOY (PAYABON),74610000,DUMAGUETE,5153.824800000005
74625000,ZAMBOANGUITA,74606000,BAYAWAN (TULONG),5391.921600000001
74603000,BACONG,74606000,BAYAWAN (TULONG),6772.404
74612000,JIMALALUD,74606000,BAYAWAN (TULONG),8936.963999999998
74611000,GUIHULNGAN,74606000,BAYAWAN (TULONG),10305.201599999997
74608000,CANLAON,74606000,BAYAWAN (TULONG),13904.6472
74618000,SANTA CATALINA,74606000,BAYAWAN (TULONG),598.8744
74620000,SIBULAN,74606000,BAYAWAN (TULONG),5982.710399999996
74623000,VALENCIA (LUZURRIAGA),74606000,BAYAWAN (TULONG),6824.032799999999
74609000,DAUIN,74606000,BAYAWAN (TULONG),6257.0088
74624000,VALLEHERMOSO,74606000,BAYAWAN (TULONG),12369.067199999994
74616000,PAMPLONA,74606000,BAYAWAN (TULONG),3671.4672
74601000,AMLAN (AYUQUITAN),74606000,BAYAWAN (TULONG),4872.8448
74602000,AYUNGON,74606000,BAYAWAN (TULONG),7877.656800000001
74604000,BAIS,74606000,BAYAWAN (TULONG),5087.800799999999
74621000,TANJAY,74606000,BAYAWAN (TULONG),4180.7592
74615000,MANJUYOD,74606000,BAYAWAN (TULONG),6150.8592
74614000,MABINAY,74606000,BAYAWAN (TULONG),4662.940799999999
74617000,SAN JOSE,74606000,BAYAWAN (TULONG),5419.526399999997
74619000,SIATON,74606000,BAYAWAN (TULONG),3792.420000000001
74613000,LA LIBERTAD,74606000,BAYAWAN (TULONG),9432.871199999998
74622000,TAYASAN,74606000,BAYAWAN (TULONG),8408.951999999997
74605000,BASAY,74606000,BAYAWAN (TULONG),1785.6912
74607000,BINDOY (PAYABON),74606000,BAYAWAN (TULONG),6887.0088
74606000,BAYAWAN (TULONG),74625000,ZAMBOANGUITA,5391.921600000001
74603000,BACONG,74625000,ZAMBOANGUITA,1482.5951999999993
74612000,JIMALALUD,74625000,ZAMBOANGUITA,9100.4928
74611000,GUIHULNGAN,74625000,ZAMBOANGUITA,10468.730399999997
74608000,CANLAON,74625000,ZAMBOANGUITA,14068.175999999989
74618000,SANTA CATALINA,74625000,ZAMBOANGUITA,4861.526400000002
74620000,SIBULAN,74625000,ZAMBOANGUITA,2441.2847999999985
74623000,VALENCIA (LUZURRIAGA),74625000,ZAMBOANGUITA,1960.4711999999995
74609000,DAUIN,74625000,ZAMBOANGUITA,967.2
74624000,VALLEHERMOSO,74625000,ZAMBOANGUITA,12532.595999999983
74616000,PAMPLONA,74625000,ZAMBOANGUITA,4748.661599999998
74601000,AMLAN (AYUQUITAN),74625000,ZAMBOANGUITA,3547.284
74602000,AYUNGON,74625000,ZAMBOANGUITA,8041.185600000004
74604000,BAIS,74625000,ZAMBOANGUITA,5251.329599999997
74621000,TANJAY,74625000,ZAMBOANGUITA,4293.657599999999
74615000,MANJUYOD,74625000,ZAMBOANGUITA,6314.388000000001
74614000,MABINAY,74625000,ZAMBOANGUITA,8297.258400000004
