dest_psgc,dest_municipality,src_psgc,src_municipality,travel_time
76104000,MARIA,76106000,SIQUIJOR,1546.5312000000004
76103000,LAZI,76106000,SIQUIJOR,1892.3256
76102000,LARENA,76106000,SIQUIJOR,806.6735999999999
76101000,ENRIQUE VILLANUEVA,76106000,SIQUIJOR,1662.9984
76105000,SAN JUAN,76106000,SIQUIJOR,559.8576
76103000,LAZI,76104000,MARIA,854.3448000000001
76102000,LARENA,76104000,MARIA,836.8992000000001
76101000,ENRIQUE VILLANUEVA,76104000,MARIA,763.6320000000001
76105000,SAN JUAN,76104000,MARIA,2007.8928
76104000,MARIA,76103000,LAZI,854.3448000000001
76102000,LARENA,76103000,LAZI,1658.772
76101000,ENRIQUE VILLANUEVA,76103000,LAZI,1617.9768000000004
76105000,SAN JUAN,76103000,LAZI,1473.444
76104000,MARIA,76102000,LARENA,836.8992000000001
76103000,LAZI,76102000,LARENA,1658.772
76101000,ENRIQUE VILLANUEVA,76102000,LARENA,933.1848
76105000,SAN JUAN,76102000,LARENA,1268.0351999999996
76104000,MARIA,76101000,ENRIQUE VILLANUEVA,763.6320000000001
76103000,LAZI,76101000,ENRIQUE VILLANUEVA,1617.9768000000004
76102000,LARENA,76101000,ENRIQUE VILLANUEVA,933.1848
76105000,SAN JUAN,76101000,ENRIQUE VILLANUEVA,2124.36
76104000,MARIA,76105000,SAN JUAN,2007.8928
76103000,LAZI,76105000,SAN JUAN,1473.444
76102000,LARENA,76105000,SAN JUAN,1268.0351999999996
76101000,ENRIQUE VILLANUEVA,76105000,SAN JUAN,2124.36
