id,psgc,island_grp,region,province,municipality,is_capital,lat,lon,poi_type,node_type,nearest_node,nearest_node_lat,nearest_node_lon,nearest_node_dist,pop_2015,pop_2020
15,60404000,PANAY,6,AKLAN,BATAN,,11.586706,122.496377,G,L,7694172451,11.5866986,122.4964842,11.706158520957835,32032,33484
48,60412000,PANAY,6,AKLAN,MALAY,,11.899847,121.9097,C,L,8220327694,11.9000452,121.9095874,25.215283932344963,52973,60077
58,60415000,PANAY,6,AKLAN,NEW WASHINGTON,,11.650127,122.4327511,G,L,7697873863,11.6501972,122.4326294,15.381528508857343,45007,47955
10,60403000,PANAY,6,AKLAN,BANGA,,11.6343018,122.351397,G,L,5451468752,11.6341054,122.3521342,83.20597208487672,39505,40318
22,60407000,PANAY,6,AKLAN,KALIBO,Y,11.7086362,122.3669055,G,L,2524984708,11.7083991,122.3665857,43.67528574559482,80605,89127
39,60411000,PANAY,6,AKLAN,MAKATO,,11.7124392,122.2928041,G,L,7811387509,11.7126084,122.2930979,37.111503670467265,27262,29717
38,60410000,PANAY,6,AKLAN,MADALAG,,11.5216998,122.3090181,G,L,7694851976,11.52138,122.3088863,38.35025649392303,18389,18890
52,60413000,PANAY,6,AKLAN,MALINAO,,11.6428712,122.3085085,G,L,8494612370,11.6425841,122.3086287,34.50382267893231,23194,24517
33,60409000,PANAY,6,AKLAN,LIBACAO,,11.4822326,122.3050672,G,L,2765088420,11.4819167,122.3052154,38.66100349296929,28241,28272
30,60408000,PANAY,6,AKLAN,LEZO,,11.6663427,122.3281583,G,L,2537434925,11.6665408,122.3278843,37.08813897153331,15224,15639
63,60416000,PANAY,6,AKLAN,NUMANCIA,,11.7038167,122.328743,G,L,5296358394,11.7041269,122.3288712,37.21016159151155,31934,35693
66,60417000,PANAY,6,AKLAN,TANGALAN,,11.7770217,122.2597915,G,L,1776719193,11.7770524,122.2595106,30.767149707946654,21916,23704
20,60406000,PANAY,6,AKLAN,IBAJAY,,11.8177152,122.1669978,G,L,25745319,11.8178453,122.1656487,147.54450266981684,49564,52364
1,60401000,PANAY,6,AKLAN,ALTAVAS,,11.5345723,122.4832088,G,L,7690601200,11.5356057,122.4844647,178.67942777553228,24619,25639
53,60414000,PANAY,6,AKLAN,NABAS,,11.828111,122.091786,G,L,25745351,11.8287677,122.0917043,73.56118220843516,36435,40632
4,60402000,PANAY,6,AKLAN,BALETE,,11.5560163,122.3794341,C,L,8929311578,11.5556774,122.3792605,42.163437692216064,28920,30090
17,60405000,PANAY,6,AKLAN,BURUANGA,,11.8446055,121.8887027,G,L,2529776771,11.8448685,121.8888437,33.02557116,19003,19357
69,60601000,PANAY,6,ANTIQUE,ANINI-Y,,10.4303904,121.9262937,G,L,2930625101,10.4299652,121.9263291,47.438371446922105,21201,22018
114,60611000,PANAY,6,ANTIQUE,PANDAN,,11.7205282,122.0962679,G,L,2426268537,11.7205342,122.0965413,29.774357859258245,34333,35965
140,60616000,PANAY,6,ANTIQUE,SIBALOM,,10.7894135,122.0180869,G,L,4628489477,10.7888477,122.0179505,64.65424011757551,60306,63833
122,60613000,PANAY,6,ANTIQUE,SAN JOSE DE BUENAVISTA,Y,10.7468481,121.9414723,G,L,1799543013,10.7464837,121.9411985,50.363789011105844,62534,65140
88,60605000,PANAY,6,ANTIQUE,CALUYA,,11.9323798,121.5475631,G,L,1630584320,11.9320843,121.5474678,34.45506618,35496,38908
132,60615000,PANAY,6,ANTIQUE,SEBASTE,,11.5894089,122.0961392,G,L,915065485,11.5888861,122.0954258,97.04723798,17907,18816
100,60607000,PANAY,6,ANTIQUE,TOBIAS FORNIER,,10.5163604,121.9446158,G,L,535276714,10.5168197,121.9442947,61.97336780631234,33046,33816
104,60608000,PANAY,6,ANTIQUE,HAMTIC,,10.7010876,121.9817698,G,L,1051223918,10.7014316,121.9817859,38.29153545212126,48592,52685
149,60618000,PANAY,6,ANTIQUE,VALDERRAMA,,11.0038166,122.1299297,G,L,1800121669,11.0039955,122.1296042,40.71855577240943,19124,19971
118,60612000,PANAY,6,ANTIQUE,PATNONGON,,10.9138658,121.9957602,G,L,1798998690,10.9131543,121.9959953,83.17533603855964,37176,38329
79,60603000,PANAY,6,ANTIQUE,BELISON,,10.8382165,121.9592205,G,L,1800119825,10.838311,121.9598017,64.33766793,13539,14129
108,60609000,PANAY,6,ANTIQUE,LAUA-AN,,11.1428795,122.0417333,G,L,1780445915,11.1426071,122.0418402,32.45726716766898,26072,26580
143,60617000,PANAY,6,ANTIQUE,TIBIAO,,11.2893698,122.0344645,G,L,7576343264,11.289303,122.0341308,37.13822483101323,26748,28703
84,60604000,PANAY,6,ANTIQUE,BUGASONG,,11.0447,122.0650309,G,L,7174365551,11.0449735,122.0648298,37.504106920235735,33642,34676
93,60606000,PANAY,6,ANTIQUE,CULASI,,11.426597,122.0551175,G,LS*,4906324173,11.4265424,122.0548754,27.076203215764437,41228,44494
110,60610000,PANAY,6,ANTIQUE,LIBERTAD,,11.7698901,121.9197249,G,L,2797272209,11.7696547,121.9194925,36.402711642381874,16429,17507
128,60614000,PANAY,6,ANTIQUE,SAN REMIGIO,,10.8308929,122.0886129,G,L,1800119519,10.8303835,122.088712,57.66753195149409,31935,34045
76,60602000,PANAY,6,ANTIQUE,BARBAZA,,11.1950735,122.038461,C,L,1780445978,11.1955297,122.038487,50.80641297395843,22704,23359
196,61914000,PANAY,6,CAPIZ,ROXAS,Y,11.5836125,122.7525884,G,L,2306113918,11.5839619,122.7522759,51.65475495369006,167003,179292
186,61910000,PANAY,6,CAPIZ,PANITAN,,11.4629175,122.768451,G,L,2396897620,11.4626758,122.7685637,29.549148927433556,40289,42565
167,61905000,PANAY,6,CAPIZ,IVISAN,,11.521027,122.6927,G,L,1406589361,11.5212557,122.6931131,51.69646766213704,29055,31278
171,61906000,PANAY,6,CAPIZ,JAMINDAN,,11.4083929,122.5097895,G,L,1830345761,11.4078797,122.5098116,57.11613436426541,36677,38670
180,61908000,PANAY,6,CAPIZ,MAMBUSAO,,11.4295204,122.597546,G,L,569931233,11.4291901,122.5973357,43.292965186156636,39644,40690
160,61903000,PANAY,6,CAPIZ,DUMALAG,,11.3061086,122.623314,G,L,2551653489,11.305985,122.6229666,40.29576372640845,29466,30098
165,61904000,PANAY,6,CAPIZ,DUMARAO,,11.2621947,122.6871398,G,L,2538440021,11.2623185,122.6868424,35.23316640388726,46157,49506
157,61902000,PANAY,6,CAPIZ,DAO,,11.3943499,122.6861554,G,L,2531091417,11.3940062,122.6863292,42.65562719792091,32496,33842
207,61916000,PANAY,6,CAPIZ,SIGMA,,11.4226166,122.665261,G,L,569931263,11.4222359,122.6651026,45.717136434114394,30134,31688
153,61901000,PANAY,6,CAPIZ,CUARTERO,,11.3408245,122.6695418,G,L,8337358449,11.3407529,122.6697524,24.301623436637428,27408,27993
205,61915000,PANAY,6,CAPIZ,SAPI-AN,,11.4937664,122.6048496,G,L,7144682288,11.4937354,122.6054538,65.92696555131798,25821,26697
214,61917000,PANAY,6,CAPIZ,TAPAZ,,11.2606348,122.5376844,G,L,2536029599,11.2607354,122.5380684,43.34520894,51313,54423
195,61912000,PANAY,6,CAPIZ,PONTEVEDRA,,11.4818541,122.8323922,G,L,8411178509,11.481609,122.8321446,38.35031860389051,46428,49725
192,61911000,PANAY,6,CAPIZ,PILAR,,11.5149769,123.0515528,M,L,1744171409,11.514743,123.0514415,28.696790466085197,45287,47100
182,61909000,PANAY,6,CAPIZ,PANAY,,11.5556221,122.7932185,G,L,1827135100,11.5555748,122.792904,34.663362527824425,46114,48890
177,61907000,PANAY,6,CAPIZ,MA-AYON,,11.3873584,122.7808428,G,L,2529696506,11.3871679,122.7805574,37.63722305,38416,41226
202,61913000,PANAY,6,CAPIZ,PRESIDENT ROXAS,,11.4308665,122.9297054,G,L,2532647656,11.4306629,122.9292667,52.902633789126334,29676,31269
223,67902000,GUIMARAS,6,GUIMARAS,JORDAN,Y,10.661309,122.5906898,G,LS*,3658518429,10.6614616,122.5906595,17.288395268951103,36096,39566
235,67903000,GUIMARAS,6,GUIMARAS,NUEVA VALENCIA,,10.5259199,122.5397819,G,L,1907884395,10.5257376,122.5398881,23.36032422,39810,42771
220,67901000,GUIMARAS,6,GUIMARAS,BUENAVISTA,,10.6976482,122.6478535,G,LS*,1779335004,10.6974579,122.6477817,22.56786224112978,50437,52899
237,67904000,GUIMARAS,6,GUIMARAS,SAN LORENZO,,10.5923943,122.6903584,G,LS*,1907868438,10.5921546,122.6900428,43.59271432709009,26112,29444
244,67905000,GUIMARAS,6,GUIMARAS,SIBUNAG,,10.5208304,122.633155,G,L,1907833974,10.52089,122.6336762,57.36466822480185,22158,23162
331,63022000,ILOILO,6,ILOILO,ILOILO,Y,10.6932388,122.5730842,G,LS*,10869966018,10.6930744,122.5732582,26.37480781945056,447992,457626
245,63001000,ILOILO,6,ILOILO,AJUY,,11.171313,123.0200368,G,LS*,7262893193,11.1715845,123.0203036,41.934331679582996,52268,53462
291,63014000,ILOILO,6,ILOILO,CARLES,,11.573638,123.1331295,G,L,8524303154,11.573456,123.1332578,24.594564250275496,68160,72637
350,63028000,ILOILO,6,ILOILO,LEON,,10.7806448,122.3872447,G,L,2556605714,10.7808909,122.3870472,34.84625630045387,49875,51990
310,63020000,ILOILO,6,ILOILO,GUIMBAL,,10.6607608,122.3234457,G,L,1983926123,10.6609306,122.3238094,44.000494145197585,33820,35022
307,63019000,ILOILO,6,ILOILO,ESTANCIA,,11.4569661,123.1509635,G,L,7103400263,11.4568701,123.1511539,23.33450856960807,48546,53200
266,63007000,ILOILO,6,ILOILO,BAROTAC NUEVO,,10.8936436,122.7040994,G,L,2536771386,10.8939406,122.7040678,33.204700664270845,54146,58176
296,63015000,ILOILO,6,ILOILO,CONCEPCION,,11.2151354,123.1082252,G,L,2537963986,11.2155432,123.108067,48.51742492843614,43159,44633
397,63044000,ILOILO,6,ILOILO,SARA,,11.2572282,123.0140394,G,L,2536156690,11.2573902,123.0145627,59.84434022,52631,54637
285,63013000,ILOILO,6,ILOILO,CALINOG,,11.1224809,122.5366813,G,L,8374653905,11.1226269,122.5368945,28.36645663838956,60413,62853
253,63002000,ILOILO,6,ILOILO,ALIMODIAN,,10.8159289,122.4318928,G,L,1815529564,10.8158341,122.4316621,27.31313353,38408,39722
401,63045000,ILOILO,6,ILOILO,TIGBAUAN,,10.6740376,122.3766607,G,L,1947330353,10.6741276,122.3769198,30.028780400311128,62706,65245
280,63012000,ILOILO,6,ILOILO,CABATUAN,,10.8797259,122.480945,G,L,1813493249,10.8793886,122.4807588,42.662786933731155,58442,61110
